taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Kagwad,Belagavi,16.683387,74.820656,2019,0.3843,0.0357,0.3843,0.3843,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kagwad,Belagavi,16.683387,74.820656,2020,0.5211,0.1335,0.5211,0.5211,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kagwad,Belagavi,16.683387,74.820656,2021,0.5488,0.0988,0.5488,0.5488,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kagwad,Belagavi,16.683387,74.820656,2022,0.5413,0.1133,0.5413,0.5413,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kagwad,Belagavi,16.683387,74.820656,2023,0.5579,0.1278,0.5579,0.5579,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Mudalgi,Belagavi,16.275345,75.013203,2019,0.5345,0.0918,0.5345,0.5345,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Mudalgi,Belagavi,16.275345,75.013203,2020,0.4603,0.0852,0.4603,0.4603,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Mudalgi,Belagavi,16.275345,75.013203,2021,0.5711,0.0762,0.5711,0.5711,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Mudalgi,Belagavi,16.275345,75.013203,2022,0.5271,0.0903,0.5271,0.5271,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Mudalgi,Belagavi,16.275345,75.013203,2023,0.5115,0.1208,0.5115,0.5115,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Jamakhandi,Bagalkote,16.578714,75.346703,2019,0.4275,0.1097,0.4275,0.4275,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Jamakhandi,Bagalkote,16.578714,75.346703,2020,0.4577,0.1143,0.4577,0.4577,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Jamakhandi,Bagalkote,16.578714,75.346703,2021,0.5056,0.0909,0.5056,0.5056,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Jamakhandi,Bagalkote,16.578714,75.346703,2022,0.5238,0.0861,0.5238,0.5238,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Jamakhandi,Bagalkote,16.578714,75.346703,2023,0.5116,0.0743,0.5116,0.5116,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Bilagi,Bagalkote,16.346248,75.588825,2019,0.5063,0.0942,0.5063,0.5063,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Bilagi,Bagalkote,16.346248,75.588825,2020,0.4014,0.0731,0.4014,0.4014,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Bilagi,Bagalkote,16.346248,75.588825,2021,0.474,0.0851,0.474,0.474,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Bilagi,Bagalkote,16.346248,75.588825,2022,0.5044,0.1442,0.5044,0.5044,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Bilagi,Bagalkote,16.346248,75.588825,2023,0.4998,0.1217,0.4998,0.4998,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Mudhol,Bagalkote,16.291991,75.310346,2019,0.3976,0.1322,0.3976,0.3976,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Mudhol,Bagalkote,16.291991,75.310346,2020,0.403,0.1215,0.403,0.403,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Mudhol,Bagalkote,16.291991,75.310346,2021,0.453,0.1146,0.453,0.453,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Mudhol,Bagalkote,16.291991,75.310346,2022,0.4186,0.1308,0.4186,0.4186,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Mudhol,Bagalkote,16.291991,75.310346,2023,0.3766,0.1286,0.3766,0.3766,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Badami,Bagalkote,15.969667,75.597046,2019,0.3998,0.0543,0.3998,0.3998,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Badami,Bagalkote,15.969667,75.597046,2020,0.3224,0.0499,0.3224,0.3224,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Badami,Bagalkote,15.969667,75.597046,2021,0.4107,0.0538,0.4107,0.4107,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Badami,Bagalkote,15.969667,75.597046,2022,0.3863,0.0687,0.3863,0.3863,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Badami,Bagalkote,15.969667,75.597046,2023,0.3504,0.0662,0.3504,0.3504,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Bagalkote,Bagalkote,16.211931,75.760523,2019,0.495,0.0862,0.495,0.495,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Bagalkote,Bagalkote,16.211931,75.760523,2020,0.4088,0.0678,0.4088,0.4088,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Bagalkote,Bagalkote,16.211931,75.760523,2021,0.5141,0.0918,0.5141,0.5141,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Bagalkote,Bagalkote,16.211931,75.760523,2022,0.4642,0.1062,0.4642,0.4642,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Bagalkote,Bagalkote,16.211931,75.760523,2023,0.4839,0.0998,0.4839,0.4839,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Hungund,Bagalkote,16.11536,76.016862,2019,0.4137,0.1851,0.4137,0.4137,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Hungund,Bagalkote,16.11536,76.016862,2020,0.4214,0.0753,0.4214,0.4214,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Hungund,Bagalkote,16.11536,76.016862,2021,0.5708,0.1102,0.5708,0.5708,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Hungund,Bagalkote,16.11536,76.016862,2022,0.4289,0.0977,0.4289,0.4289,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Hungund,Bagalkote,16.11536,76.016862,2023,0.503,0.1382,0.503,0.503,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Guledgudda,Bagalkote,16.039667,75.746736,2019,0.441,0.0978,0.441,0.441,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Guledgudda,Bagalkote,16.039667,75.746736,2020,0.3557,0.0784,0.3557,0.3557,1,landsat-7,Landsat C2 L2 (Planetary Computer)
