point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
MUL_008,Mulki,13.05157755847244,74.82183703735161,33.1,44.6,22.2,5.8,2.68,392.0,123.0,ISRIC SoilGrids v2.0
MUL_009,Mulki,13.067365268979312,74.81626098257777,31.1,45.9,23.0,5.8,2.63,391.0,122.0,ISRIC SoilGrids v2.0
YEL_000,Yelahanka,13.122205712116449,77.65521078591806,20.6,62.4,17.1,6.5,1.09,198.0,135.0,ISRIC SoilGrids v2.0
YEL_001,Yelahanka,13.13894251221004,77.594135653436,19.8,62.7,17.6,6.5,1.44,174.0,134.0,ISRIC SoilGrids v2.0
YEL_002,Yelahanka,13.200973976599814,77.6139269728589,20.9,58.3,20.8,6.4,1.78,203.0,134.0,ISRIC SoilGrids v2.0
YEL_003,Yelahanka,13.206192077117686,77.52075464688745,22.0,55.9,22.1,6.4,1.58,197.0,137.0,ISRIC SoilGrids v2.0
YEL_004,Yelahanka,13.155744768344181,77.71497909248289,21.3,64.4,14.3,6.5,1.15,177.0,136.0,ISRIC SoilGrids v2.0
YEL_005,Yelahanka,13.112710066156973,77.71132623401385,22.2,63.1,14.7,6.5,1.3,182.0,136.0,ISRIC SoilGrids v2.0
YEL_006,Yelahanka,13.14764717281977,77.61415007566883,22.3,58.0,19.7,6.5,1.74,232.0,134.0,ISRIC SoilGrids v2.0
YEL_007,Yelahanka,13.19256332545217,77.59488704572885,20.1,59.3,20.6,6.5,1.87,186.0,136.0,ISRIC SoilGrids v2.0
YEL_008,Yelahanka,13.146172380424446,77.69471761820608,19.6,64.2,16.2,6.5,1.21,185.0,137.0,ISRIC SoilGrids v2.0
YEL_009,Yelahanka,13.134644300586402,77.57023107201711,21.6,59.1,19.3,6.5,1.28,197.0,136.0,ISRIC SoilGrids v2.0
K.R_000,K.R.Nagar,12.465508405996955,76.42065018106133,34.8,38.4,26.8,7.0,1.77,232.0,138.0,ISRIC SoilGrids v2.0
K.R_001,K.R.Nagar,12.461971782459296,76.2906429374082,32.4,45.1,22.5,7.0,1.66,237.0,133.0,ISRIC SoilGrids v2.0
